modelo,cv_roc_auc_media,cv_pr_auc_media,cv_f1_media,treino_roc_auc,validacao_roc_auc,gap_auc_treino_validacao,validacao_pr_auc,validacao_f1_050,validacao_recall_050,validacao_precision_050,tempo_seg,score_selecao
GradientBoosting_sklearn,0.8470822315982577,0.6650291191882739,0.5744451893038194,0.8601017693436475,0.8507800994108985,0.009321669932748966,0.6543670084715253,0.5777777777777777,0.5107142857142857,0.6651162790697674,3.366071939468384,0.8484496819277112
XGBoost_regularizado,0.8470401300137577,0.6661352944004423,0.6241435013816458,0.872908318515629,0.8507317746686301,0.022176543846998853,0.6519624118553223,0.644718792866941,0.8392857142857143,0.5233853006681515,1.216628074645996,0.8451876387068804
CatBoost_regularizado,0.8479688450298676,0.6666786006099837,0.6267978903194154,0.8721712327147892,0.8495213549337259,0.02264987778106331,0.654187437351046,0.6342780026990553,0.8392857142857143,0.5097613882863341,5.230709791183472,0.8438588854884601
LogisticRegression,0.8430641348367184,0.6542831381221214,0.6294267425433334,0.8486777837442608,0.844764819587629,0.003912964156631893,0.6312712154907045,0.6238030095759234,0.8142857142857143,0.5055432372505543,0.5740783214569092,0.843786578548471
RandomForest_regularizada,0.8459130181594565,0.6590073423974533,0.6242332162216805,0.8727121211353654,0.8476965206185568,0.025015600516808623,0.6352520507128028,0.6392318244170097,0.8321428571428572,0.5189309576837416,5.051266670227051,0.8414426204893547
LightGBM_regularizado,0.8459007445278527,0.6608549014786297,0.6236018598619135,0.8899429792788549,0.845666881443299,0.04427609783555586,0.6403889707892285,0.6445366528354081,0.8321428571428572,0.5259593679458239,1.551408290863037,0.8345978569844101
HistGradientBoosting_regularizado,0.8445628617914761,0.6548603250614394,0.5840471066446832,0.8980683370567564,0.8468726988217968,0.05119563823495954,0.6413162493886623,0.5909980430528375,0.5392857142857143,0.6536796536796536,4.8491551876068115,0.834073789263057
