threshold,precision,recall,f1
0.3416938953785348,0.5618556701030928,0.7785714285714286,0.652694610778443
0.341618311346824,0.5604113110539846,0.7785714285714286,0.6517189835575486
0.34977916821648963,0.5676392572944297,0.7642857142857142,0.6514459665144596
0.341186419206505,0.558974358974359,0.7785714285714286,0.6507462686567164
0.3438238099447447,0.5607235142118863,0.775,0.6506746626686657
0.34752308428870954,0.5643044619422573,0.7678571428571429,0.6505295007564298
0.3495385913768357,0.5661375661375662,0.7642857142857142,0.6504559270516718
0.3392807784048091,0.5575447570332481,0.7785714285714286,0.6497764530551416
0.3473450006889269,0.56282722513089,0.7678571428571429,0.6495468277945619
0.34817853834124857,0.5646437994722955,0.7642857142857142,0.6494688922610015
0.349909565608258,0.5664893617021277,0.7607142857142857,0.649390243902439
0.3384050408875173,0.5561224489795918,0.7785714285714286,0.6488095238095238
0.37567253740001644,0.5823863636363636,0.7321428571428571,0.6487341772151899
0.34418460862380357,0.5595854922279793,0.7714285714285715,0.6486486486486486
0.3458596090507121,0.5613577023498695,0.7678571428571429,0.6485671191553545
0.34760949496997406,0.5631578947368421,0.7642857142857142,0.6484848484848484
0.35592679576231506,0.5668449197860963,0.7571428571428571,0.6483180428134556
0.337955169968584,0.55470737913486,0.7785714285714286,0.6478454680534919
0.37512669949319705,0.5807365439093485,0.7321428571428571,0.6477093206951027
0.34555291950177464,0.5598958333333334,0.7678571428571429,0.6475903614457832
0.35153173893796386,0.5653333333333334,0.7571428571428571,0.6473282442748092
0.32370191919533675,0.55,0.7857142857142857,0.6470588235294117
0.33597162400146363,0.5532994923857868,0.7785714285714286,0.6468842729970327
0.3751100079796155,0.5790960451977402,0.7321428571428571,0.6466876971608834
0.3445256651865829,0.5584415584415584,0.7678571428571429,0.6466165413533834
0.37770466353457505,0.5811965811965812,0.7285714285714285,0.6465927099841521
0.37949792877118366,0.5833333333333334,0.725,0.6464968152866242
0.3564615341724533,0.5656836461126006,0.7535714285714286,0.6462480857580398
0.32162383023797697,0.5486284289276808,0.7857142857142857,0.6461086637298091
0.33579734309698334,0.5518987341772152,0.7785714285714286,0.6459259259259259
0.37455164559324927,0.5774647887323944,0.7321428571428571,0.6456692913385826
0.3790951945725496,0.5816618911174785,0.725,0.6454689984101748
0.3806831729590595,0.5838150289017341,0.7214285714285714,0.6453674121405751
0.32121309842853735,0.5472636815920398,0.7857142857142857,0.6451612903225806
0.3252264382516822,0.5488721804511278,0.7821428571428571,0.6450662739322532
0.32913572025431537,0.5505050505050505,0.7785714285714286,0.6449704142011834
0.37444680201886216,0.5758426966292135,0.7321428571428571,0.6446540880503144
0.3784877851390709,0.58,0.725,0.6444444444444445
0.380337368148809,0.5821325648414986,0.7214285714285714,0.6443381180223285
0.29708454017236763,0.5299539170506913,0.8214285714285714,0.6442577030812325
0.32050933854778,0.5459057071960298,0.7857142857142857,0.6442166910688141
0.3575143022826695,0.5645161290322581,0.75,0.6441717791411045
0.3282011390209918,0.5491183879093199,0.7785714285714286,0.6440177252584933
0.3717749590758795,0.5742296918767507,0.7321428571428571,0.6436420722135008
0.29602863549349,0.5287356321839081,0.8214285714285714,0.6433566433566434
0.3167947307199304,0.5445544554455446,0.7857142857142857,0.6432748538011697
0.381044888255745,0.5826086956521739,0.7178571428571429,0.6432000000000001
0.36006652224674196,0.5648648648648649,0.7464285714285714,0.6430769230769231
0.3281903751131286,0.5477386934673367,0.7785714285714286,0.6430678466076697
0.3628468797949161,0.5667574931880109,0.7428571428571429,0.642967542503864
